Period,?깅줉Period,援щ텇,SO_ID,Customer name,Customer PO,Item name,OS name,Expected delivery date,AX Period,AX Project number,Sector,Business registration number,Industry code,Value_Start_qty,Value_Input_qty,Value_Output_qty,Value_Variance_qty,Value_Ending_qty,Value_Start_amount,Value_Input_amount,Value_Output_amount,Value_Variance_amount,Value_Ending_amount
Mar-26,Jan-26,援?궡,SOD-2026-0006,二쇱떇?뚯궗 釉뚯씠?곗뿕,VT-C35-251218-01,MA003/SBWG-07-1SM,MA,2026-03-20 0:00,Feb-26,82-15812.001,CPI,775-88-01381,85,1,0,0,0,1,7250000,0,0,0,7250000
Mar-26,Jan-26,援?궡,SOD-2026-0006,二쇱떇?뚯궗 釉뚯씠?곗뿕,VT-C35-251218-02,MA003/SBWG-07-1SM,MA,2026-05-07 0:00,Feb-26,82-15818.001,CPI,775-88-01381,85,1,0,0,0,1,7250000,0,0,0,7250000
Mar-26,Jan-26,援?궡,SOD-2026-0006,二쇱떇?뚯궗 釉뚯씠?곗뿕,VT-C35-251218-03,MA003/SBWG-07-1SM,MA,2026-06-25 0:00,Feb-26,82-15819.001,CPI,775-88-01381,85,1,0,0,0,1,7250000,0,0,0,7250000
Mar-26,Jan-26,援?궡,SOD-2026-0006,二쇱떇?뚯궗 釉뚯씠?곗뿕,VT-C35-251218-04,MA003/SBWG-07-1SM,MA,2026-08-10 0:00,Feb-26,82-15820.001,CPI,775-88-01381,85,1,0,0,0,1,7250000,0,0,0,7250000
Mar-26,Jan-26,援?궡,SOD-2026-0023,(二???뺣갭釉??쒖슱),Q-26010502,MS01 0.4KW + SBWG-01+1SM with BUTTERFLY 200A,MS,2026-03-20 0:00,Feb-26,82-15824.001,CPI,113-81-65249,83,4,0,0,0,4,6600000,0,0,0,6600000
Mar-26,Jan-26,援?궡,SOD-2026-0031,?ㅽ넗諛몃툕,9408,MS01 0.55kW,MS,2026-02-28 0:00,Feb-26,82-15853.001,OG,117-81-76942,21,1,0,1,0,0,3435000,0,3435000,0,0
Mar-26,Jan-26,援?궡,SOD-2026-0033,?섏씠?먯뼱肄붾━??二?,P260107-0045,Air filter regulator(MS4-LFR-1/4-D7-E-R-M-AS),FP Spares,2026-03-09 0:00,Jan-26,82-15601.001,CPI,603-81-10081,79,12,0,12,0,0,501000,0,501000,0,0
Mar-26,Jan-26,援?궡,SOD-2026-0038,?쒓뎅蹂몄궛(二? / 肄붾え??25-2121,HS02-S140G-N-FC,HS,2026-05-12 0:00,Feb-26,82-15793.001,CPI,113-81-18616,85,9,0,0,0,9,8000000,0,0,0,8000000,
Mar-26,Jan-26,援?궡,SOD-2026-0055,二쇱떇?뚯궗 ?곗뿉?ㅻ꽖?ㅼ젨,P6J16HS-01,NOS300,NOD/NOS,2026-02-10 0:00,Jan-26,82-15611.001,WAPO,261-85-00499,40,1,0,0,0,1,6591800,0,0,0,6591800
Mar-26,Jan-26,援?궡,SOD-2026-0069,?쒓뎅?먮㉧?⑤쭏由곗넄猷⑥뀡利?二쇱떇?뚯궗,5300408787,MS01 + TM-W1SM,MS,2026-02-21 0:00,Feb-26,82-15864.001,CPI,603-81-42263,87,2,0,0,0,2,3764000,0,0,0,3764000
Mar-26,Jan-26,援?궡,SOD-2026-0070,?대え??PO-20260004-R00,NOS250-M-FC,NOD/NOS,2026-03-06 0:00,Feb-26,82-15865.001,CPI,897-87-02290,85,1,0,1,0,0,2180000,0,2180000,0,0,
Mar-26,Jan-26,援?궡,SOD-2026-0072,(二??쇱떊,PO-4-26-0120-0010 Rev.0,MA02,MA,2026-04-30 0:00,Feb-26,82-15867.001,WAPO,312-81-03840,51,1,0,0,0,1,5100000,0,0,0,5100000
